1.  Minecraft	Mojang	US$6.99	90.1
2.  Stardew Valley	Chucklefish Limited	US$7.99	93.2
3.  Bloons TD 6	ninja kiwi	US$4.99	93.0
4.  Geometry Dash	RobTop Games	US$1.99	95.2
5.  Construction Simulator 3	astragon Entertainment GmbH	US$3.99	87.1
6.  플루이드 시뮬레이션	Pavel Dobryakov	US$0.99	96.2
7.  Reigns: 왕좌의 게임	DevolverDigital	US$2.79	93.2
8.  NBA 2K19	2K, Inc.	US$4.99	76.9
9.  에버테일	ZigZaGame Inc.	US$0.99	78.5
10.  Poly Bridge	Dry Cactus Limited	US$0.99	91.0
11.  Grand Theft Auto: San Andreas	Rockstar Games	US$6.99	86.3
12.  Terraria.	505 Games Srl	US$4.99	85.4
13.  Bloons TD 5	ninja kiwi	US$2.99	91.5
14.  Cultist Simulator	Playdigious	US$6.99	94.7
15.  Scribblenauts Remix	Warner Bros. International Enterprises	US$0.99	84.5
16.  The Game of Life	Marmalade Game Studio	US$2.99	87.2
17.  Five Nights at Freddy's	Scott Cawthon	US$2.99	91.5
18.  히트맨 스나이퍼 (Hitman Sniper)	SQUARE ENIX Ltd	US$0.99	91.7
19.  Scribblenauts Unlimited	Warner Bros. International Enterprises	US$4.99	87.2
20.  미니 메트로	Dinosaur Polo Club	US$0.99	95.9
21.  Papa's Freezeria To Go!	Flipline Studios	US$0.99	88.0
22.  The Room	Fireproof Games	US$0.99	95.5
23.  Evoland	Playdigious	US$0.99	88.0
24.  Game Dev Tycoon	Greenheart Games	US$4.99	97.8
25.  Five Nights at Freddy's: SL	Scott Cawthon	US$2.99	89.7
26.  Bendy and the Ink Machine	Joey Drew Studios	US$6.99	78.2
27.  True Skate	True Axis	US$1.99	87.5
28.  Grand Theft Auto: Vice City	Rockstar Games	US$4.99	85.1
29.  어쌔신 크리드 아이덴티티	Ubisoft Entertainment	US$1.99	75.1
30.  Star Wars™: KOTOR	Aspyr Media, Inc.	US$9.99	89.7
31.  Five Nights at Freddy's 2	Scott Cawthon	US$2.99	92.4
32.  킹덤 러쉬 벤전스 (Kingdom Rush Vengeance)	Ironhide Game Studio	US$4.99	94.2
33.  Five Nights at Freddy's 4	Scott Cawthon	US$2.99	91.8
34.  Fruit Ninja Classic	Halfbrick Studios	US$0.99	85.4
35.  Cluedo	Marmalade Game Studio	US$1.99	91.4
36.  Call of Duty:Black Ops Zombies	Activision Publishing, Inc.	US$6.99	83.4
37.  Farming Simulator 18	GIANTS Software	US$4.99	88.7
38.  포토그래프 - 퍼즐 스토리	EightyEight Games	US$3.99	100.0
39.  Exploding Kittens® - Official	Exploding Kittens	US$1.99	93.3
40.  Goat Simulator	Coffee Stain Publishing	US$4.99	85.7
41.  Civilization Revolution 2	2K, Inc.	US$4.99	78.2
42.  ePSXe for Android	epsxe software s.l.	US$3.75	90.2
43.  Reigns	DevolverDigital	US$2.99	94.8
44.  Pocket City	Codebrew Games	US$3.99	92.3
45.  Don't Starve: Pocket Edition	Klei Entertainment Inc.	US$4.99	88.2
46.  My OldBoy! - GBC Emulator	Fast Emulator	US$3.99	92.0
47.  Vector Full	NEKKI	US$0.99	84.2
48.  RollerCoaster Tycoon® Classic	Atari, Inc.	US$5.99	83.3
49.  The Room: Old Sins	Fireproof Games	US$4.99	98.8
50.  Angry Neighbor	Invictus Studio	US$1.49	86.9
51.  Grand Theft Auto III	Rockstar Games	US$4.99	79.8
52.  FINAL FANTASY TACTICS : WotL	SQUARE ENIX Co.,Ltd.	US$11.99	84.8
53.  Star Traders: Frontiers	Trese Brothers	US$6.99	94.4
54.  Real Drift Car Racing	Real Games srls	US$0.99	91.1
55.  Pocket God™	Bolt Creative, Inc	US$0.99	74.3
56.  60 Seconds! Atomic Adventure	Robot Gentleman	US$3.99	78.0
57.  ROME: Total War	Feral Interactive	US$9.99	90.3
58.  Let's Create! Pottery	Infinite Dreams	US$4.99	91.3
59.  Arithmagic - Math Wizard Game	Gooble Games	US$0.99	96.6
60.  Cytus II (사이터스Ⅱ)	Rayark International Limited	US$1.99	93.7
